UID          PID    PPID  C STIME TTY          TIME CMD
aiden       1529    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-keyboard
aiden       1530    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-media-keys
aiden       1531    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-power
aiden       1532    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-print-notifications
aiden       1540    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-rfkill
aiden       1541    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
aiden       1548    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-sharing
aiden       1551    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-smartcard
aiden       1554    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-sound
aiden       1558    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-usb-protection
aiden       1564    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-wacom
aiden       1565    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-wwan
aiden       1570    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-xsettings
aiden       1575    1391  0 13:01 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
aiden       1593    1391  0 13:01 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
aiden       1612    1161  0 13:01 ?        00:00:00 /usr/libexec/gsd-printer
aiden       1662    1429  0 13:01 ?        00:00:00 /usr/libexec/ibus-engine-simple
aiden       1706    1161  0 13:01 ?        00:00:00 /usr/libexec/gnome-terminal-server
aiden       1714    1706  0 13:01 pts/0    00:00:00 bash
aiden       1733    1391  0 13:02 ?        00:00:00 update-notifier
root        2010       1  0 13:47 ?        00:00:00 /usr/lib/snapd/snapd
root        2102       2  0 14:06 ?        00:00:00 [kworker/u2:2-events_unbound]
root        2154       2  0 14:10 ?        00:00:00 [kworker/0:0-events]
root        2161       2  0 14:16 ?        00:00:00 [kworker/u2:1-events_unbound]
root        2390       2  0 14:22 ?        00:00:00 [kworker/u2:0-events_power_efficient]
aiden       2391    1714  0 14:22 pts/0    00:00:00 ps -ef
